Issue Type,External ID,Epic Link,Summary,Description,Priority,Status,Labels,Components,Fix Version,Story Points
Epic,DED-E01,,DED-E01 Game rules engine (Phase 2),Core engine complete. moveCharacter trapEvaluator playCard winCondition turnOrchestrator. Stories in ded-jira-backlog-historical.csv.,Low,Done,"done-legacy,mvp-v1",engine,v0.1-internal,
Epic,DED-E02,,DED-E02 Network and persistence (Phase 3),Masking idempotency Supabase local multiplayer. Stories in historical CSV.,Low,Done,"done-legacy,mvp-v1",network,v0.1-internal,
Epic,DED-E03,,DED-E03 Client gameplay UI (Phase 4),2D 3D HUD FX lobby game over. Stories in historical CSV.,Low,Done,"done-legacy,mvp-v1",client,v0.1-internal,
Epic,DED-E04,,DED-E04 Solo bots and bot-ai service,BotOrchestrator legalActions Python decide endpoint. Stories in historical CSV.,Low,Done,"done-legacy,mvp-v1",bot-ai,v0.1-internal,
Epic,DED-E05,,DED-E05 Online transport Nest Colyseus (Phase 5),game-server ColyseusRemoteClient OnlineSession lobby REST. Stories in historical CSV.,Low,Done,"done-legacy,mvp-v1",network,v0.1-internal,
Epic,DED-E06,,DED-E06 Player UX polish (seats bots HUD),3D player turn seats around dining table. Bot orchestrator hardening. HUD 2D fallback. Aligns with playerSeatLayout and PlayerTableSeats3D.,Medium,In Progress,"mvp-v1,role:dev",client,v1.0-mvp-beta,
Epic,DED-E07,,DED-E07 Auth and production security,Supabase JWT on lobby REST and Colyseus onAuth. AUTH_REQUIRED=true production path. RFC 006 Auth v2. MVP blocker.,Highest,To Do,"mvp-v1,role:tl",infra,v1.0-mvp-beta,
Epic,DED-E08,,DED-E08 Production deploy and operations,Docker/hosting runbook. Env matrix VITE_COLYSEUS_URL Supabase. Health checks monitoring. Staging and prod smoke. MVP blocker.,Highest,To Do,"mvp-v1,role:dev",infra,v1.0-mvp-beta,
Epic,DED-E09,,DED-E09 QA and release readiness,MVP test plans solo local online. Rules fidelity matrix. UAT sign-off. Accessibility and mobile smoke. MVP gate.,Highest,To Do,"mvp-v1,role:qa",client,v1.0-mvp-beta,
Epic,DED-E10,,DED-E10 BA requirements and rules traceability,SRS engine traceability. Play modes operator guide. MVP scope in/out doc. Ongoing BA work.,High,In Progress,"mvp-v1,role:ba",docs,v1.0-mvp-beta,
Epic,DED-E11,,DED-E11 PM product legal and launch,MVP metrics. IP legal review. Beta invite. Launch checklist. UAT coordination.,Highest,To Do,"mvp-v1,role:pm",docs,v1.0-mvp-beta,
Epic,DED-E12,,DED-E12 Post-MVP roadmap,Deferred features after v1.0-beta. Label post-v1. Not in MVP critical path.,Low,Backlog,post-v1,client,v1.1,
Story,DED-601,DED-E06,DED-601 playerSeatLayout clockwise 2-4 seats,Pure module playerSeatLayout.ts. Clockwise seats from turnOrder. Table-centered world positions. Vitest playerSeatLayout.spec.ts.,Medium,Done,"mvp-v1,role:dev",client,v1.0-mvp-beta,5
Story,DED-602,DED-E06,DED-602 PlayerTableSeats3D and PlayerTurnRing2D,3D seats in Scene3D. 2D HUD semicircle when is3DMode false. Active player glow and labels.,Medium,Done,"mvp-v1,role:dev",client,v1.0-mvp-beta,8
